task,model,state,year,shift,acc_src,acc_drop,auc_drop,ap_drop,cov,pred,expl,n_target,atc,doc,cov_z,pred_z,expl_z,atc_z,doc_z
mobility,rf,TX,2017,combined,0.766,0.04675,0.0202412206004777,0.0413277588046832,0.159041244007775,0.033125,0.0170875823644452,8000,0.015125000000000055,0.0058075556457111155,1.1877629632072157,-0.5661507936557623,-1.1197648178424542,0.07083227539136254,-0.027448688412997
mobility,rf,TX,2018,combined,0.766,0.050375,0.0186012032020852,0.0512266545668129,0.1352633043424349,0.033875,0.0358493452188132,8000,0.014249999999999985,0.005741340534865524,0.7072084894908419,-0.5286436420351417,0.21892407122010588,0.03447718458361498,-0.036010375171445855
mobility,rf,NY,2014,geographic,0.766,-0.015625,0.0365386568238756,-0.005664212685295,0.1199614978342533,0.039125,0.0141455669817094,8000,0.02949999999999997,0.008629619708800718,0.3979574914252866,-0.26609358069079847,-1.3296834344932678,0.6680944815185924,0.3374473030290748
mobility,rf,NY,2015,combined,0.766,-0.00975,0.009292582411046,-0.0114116304452892,0.1029291468663498,0.0385,0.0176398622433925,8000,0.024375000000000036,0.007215136460418048,0.053732021484160467,-0.2973495403746489,-1.080358556110101,0.45515752107323365,0.1545530611698995
mobility,rf,NY,2016,combined,0.766,-0.00875,0.0207610517430143,0.0001721360137187,0.1740058815720491,0.03875,0.0223690149934593,8000,0.023249999999999993,0.007597699351818754,1.4901997441171466,-0.28484715650110876,-0.7429241534723893,0.4084152614632745,0.2040188643642383
mobility,rf,NY,2017,combined,0.766,-0.0048749999999999,0.0217141262779818,0.0049987235215287,0.1546273204626871,0.0485,0.0240411393430234,8000,0.038124999999999964,0.01030862936494803,1.0985571389815831,0.20274581456695756,-0.62361477379055,1.0264518051949323,0.5545451007487834
mobility,rf,NY,2018,combined,0.766,-0.0031249999999999,0.0125481593308797,-0.0004343762427516,0.1394248076992308,0.041875,0.0166590318467527,8000,0.03137500000000004,0.00797295695673339,0.7913128771560621,-0.1285673580818566,-1.1503427449215928,0.7459982475351911,0.25254008597023975
mobility,rf,FL,2014,geographic,0.766,0.0635,0.0183952262277247,0.0658435886183446,0.0438168042754736,0.02275,0.0175842010869528,8000,-0.01387499999999997,0.0005371713264155087,-1.1409341726313669,-1.084999724407679,-1.084330089715796,-1.1340793056653182,-0.7089151854437762
mobility,rf,FL,2015,combined,0.766,0.0461249999999999,0.0180690463156236,0.0522324163578205,0.0768579415097834,0.037,0.023102405422343,8000,0.0016249999999999876,0.004198877237935883,-0.4731695749371067,-0.3723638436158899,-0.6905952957785686,-0.49007483992812906,-0.23545257825876742
mobility,rf,FL,2016,combined,0.766,0.058875,0.0166152259398743,0.0612853183066413,0.0824702602606881,0.03125,0.0122752248640531,8000,-0.005124999999999935,0.0022639412316195484,-0.3597440670239521,-0.6599186727073135,-1.463136043988825,-0.7705283975878703,-0.48564193492020913
mobility,rf,FL,2017,combined,0.766,0.043375,0.0232146974244055,0.0507806324202435,0.066153615361536,0.03275,0.026688096329362,8000,0.0015000000000000568,0.0033289308562451936,-0.6895050476928734,-0.5849043694660725,-0.43474915732674113,-0.49526842432923257,-0.34793760352815595
mobility,rf,FL,2018,combined,0.766,0.0487499999999999,0.0240111293072471,0.0534353368271048,0.1049511747730367,0.03225,0.0265867626015332,8000,0.006249999999999978,0.004242189100998162,0.09459740217793583,-0.6099091372131528,-0.4419795192380751,-0.2979122170871935,-0.22985230666322795
mobility,rf,PA,2014,geographic,0.766,0.00375,0.0278010414299967,0.0165271935651729,0.1410016588960396,0.03,0.0179647448735356,8000,0.0036249999999999893,0.004223779043311504,0.8231811932371246,-0.7224305920750144,-1.0571775378551596,-0.40697748951042695,-0.23223274739805805
mobility,rf,PA,2015,combined,0.766,0.0214999999999999,0.0126359571177647,0.0171126645769138,0.0812937703234424,0.04225,0.0234424060309543,8000,0.021750000000000047,0.007388904585095779,-0.38352104310274265,-0.10981378227154635,-0.6663355798576582,0.3460922486500002,0.1770214710705209
mobility,rf,PA,2016,combined,0.766,0.01475,0.0211771705319231,0.0211089070009109,0.1391240347810085,0.0415,0.0174474399682151,8000,0.012624999999999997,0.005933965370694905,0.785234227220082,-0.14732093389216686,-1.0940882660412843,-0.033039412630767415,-0.011103771751048472
mobility,rf,PA,2017,combined,0.766,0.031625,0.0362958000255706,0.0432715162968846,0.1697697658655839,0.053,0.0228532099572046,8000,0.022625000000000006,0.008885971935800985,1.4045874336069402,0.42778872429068027,-0.7083758851067131,0.3824473394577432,0.3705939283141279
mobility,rf,PA,2018,combined,0.766,0.032625,0.0280067333984431,0.0370551752101002,0.1828485801955479,0.0435,0.0220140268415267,8000,0.013375000000000026,0.007168534680456307,1.6689115435016029,-0.047301862903845845,-0.7682532602535458,-0.00187790622412797,0.1485273996959045
mobility,rf,OH,2014,geographic,0.766,0.056375,0.0242134991134818,0.0513439610274109,0.1214350728914004,0.045625,0.0291678869868038,8000,0.0045000000000000595,0.005735479702029256,0.42773858667724857,0.0589684000212456,-0.2578111890725688,-0.3706223987026794,-0.036768187312012625
mobility,rf,OH,2015,combined,0.766,0.05925,0.0269642018181687,0.0630498139392485,0.1280108422195549,0.0455,0.0281755865267611,8000,0.003375000000000017,0.006066151941872433,0.5606355244795488,0.05271720808447552,-0.3286137895948093,-0.4173646583126386,0.005988097486088939
mobility,rf,OH,2016,combined,0.766,0.065,0.0216028933907773,0.0600076964218235,0.1599658599231848,0.047,0.0355320950194339,8000,0.0050000000000000044,0.006016693226294945,1.2064495408028018,0.12773151132571653,0.1962876419965546,-0.34984806109825617,-0.00040696890951260196
mobility,rf,OH,2017,combined,0.766,0.05625,0.0135702686401354,0.0480434486228102,0.1573821140285263,0.046375,0.0295033250664049,8000,0.0040000000000000036,0.005350078427114435,1.1542317849290953,0.09647555164186611,-0.23387701862088697,-0.3913967363071072,-0.08660099662078444
mobility,rf,OH,2018,combined,0.766,0.0507499999999999,0.0387886551850158,0.060621105250866,0.1464155897743684,0.048875,0.0188865472020448,8000,0.015625,0.007771582836569424,0.9325972629466656,0.22149939037726782,-0.9914051184580147,0.09160661299578576,0.22650219044934267
mobility,rf,IL,2014,geographic,0.766,0.035625,0.0058279945120034,0.0443698756397883,0.1263951610826046,0.038625,0.0136822351197732,8000,0.017874999999999974,0.006927989931929668,0.5279824515309126,-0.2910983484378788,-1.3627430792791657,0.18509113221569948,0.1174246987870822
mobility,rf,IL,2015,combined,0.766,0.028,0.0108689165065767,0.0227165189119369,0.1252310313077578,0.03225,0.0212078031044447,8000,0.02024999999999999,0.005869191042476851,0.504455275536581,-0.6099091372131528,-0.8257789185463057,0.2837692358367213,-0.019479163728948565
mobility,rf,IL,2016,combined,0.766,0.0218749999999999,0.0194505396729695,0.0290712187658988,0.16091775,0.042875,0.0127328103062718,8000,0.020750000000000046,0.007714884512857845,1.2256873318535775,-0.07855782258769592,-1.4304864176157714,0.3045435734411492,0.21917103474864963
mobility,rf,IL,2017,combined,0.766,0.03,0.0161377358781019,0.0268731528115142,0.1513749494981819,0.046,0.011634195763717,8000,0.015874999999999972,0.007379517924410162,1.0328264054034997,0.07772197583155585,-1.5088747382067793,0.10199378179799737,0.17580776550585742
mobility,rf,IL,2018,combined,0.766,0.02,0.008759956181366,0.0221947602022296,0.1634192823766622,0.04225,0.0233057105756638,8000,0.027874999999999983,0.008522811127315455,1.2762435445309799,-0.10981378227154635,-0.6760890709663114,0.6005778843042101,0.3236368358092352
mobility,rf,GA,2014,geographic,0.766,0.06425,0.0153616009667352,0.0632074529148233,0.090947090947091,0.038,0.0262257738149068,8000,0.024249999999999994,0.007512787588427661,-0.1884264942392503,-0.3223543081217292,-0.4677367831734538,0.4499639366721256,0.193039679840069
mobility,rf,GA,2015,combined,0.766,0.0514999999999999,0.0168761153664478,0.0481394562232574,0.0820022380201421,0.047625,0.0331314865027981,8000,0.02100000000000002,0.008707390415945593,-0.36920284203383996,0.15898747100956695,0.02499947610541044,0.31493074224336076,0.3475031411157948
mobility,rf,GA,2016,combined,0.766,0.0799999999999999,0.0063942841136481,0.0728722585516195,0.1087997511193625,0.051375,0.0280492175257838,8000,0.035375000000000045,0.010200988768682362,0.17237750452051742,0.3465232291126692,-0.33763046776323963,0.9121929483705953,0.5406270531014967
mobility,rf,GA,2017,combined,0.766,0.053,0.0099141229130468,0.0514034519098939,0.1347432836858209,0.051125,0.0162816875256247,8000,0.02387499999999998,0.008576505092560471,0.6966988214338973,0.334020845239129,-1.1772670085937191,0.43438318346880583,0.3305795246513468
mobility,rf,GA,2018,combined,0.766,0.04525,0.0136489158289245,0.0458550979799794,0.104611276152819,0.048375,0.0357559990975732,8000,0.026375000000000037,0.008844038008564814,0.08772801799854323,0.19649462263018747,0.21226364083778818,0.5382548714909358,0.3651718253384959
mobility,rf,NC,2014,geographic,0.766,0.066,0.0131936106308058,0.0606237584246265,0.1340829740398588,0.058375,0.0380479469000648,8000,0.034499999999999975,0.011329524492267096,0.6833538992551397,0.696589977571794,0.3757986498517482,0.8758378575628477,0.6865479650755536
mobility,rf,NC,2015,combined,0.766,0.0785,0.0044203426574114,0.0697841602892254,0.1086394944388624,0.050875,0.0211723290534591,8000,0.030750000000000055,0.009945428260821898,0.16913870141809717,0.3215184613655888,-0.8283100622492232,0.7200303255296596,0.5075827979731812
mobility,rf,NC,2016,combined,0.766,0.06225,0.0018393827103256,0.054217486290806,0.1206655301663826,0.051,0.0322463966290791,8000,0.02937500000000004,0.009320801178675286,0.4121860533447561,0.3277696533023589,-0.03815343702788636,0.6629008971174889,0.426817828317629
mobility,rf,NC,2017,combined,0.766,0.0595,0.0081775972411713,0.0539024150566163,0.1363447408545737,0.054,0.0284371710628566,8000,0.040124999999999966,0.011792365608872535,0.7290644266015777,0.477798259784841,-0.3099492155491938,1.1095491556126342,0.7463938312034109
mobility,rf,NC,2018,combined,0.766,0.056875,0.0104099390312204,0.0485126559508266,0.1321570306124082,0.055,0.0306517340450035,8000,0.04349999999999998,0.011943370586685487,0.6444303952336737,0.5278077952790017,-0.15193576652837842,1.2497759344425072,0.7659189411441896
mobility,rf,WA,2014,geographic,0.766,0.086875,0.0179250985426194,0.089885998581015,0.1424017276846565,0.052375,0.00951683382074,8000,0.03775000000000006,0.010336725563375282,0.8514767196515193,0.39653276460682985,-1.659952700826231,1.010871051991617,0.5581779701492183
mobility,rf,WA,2015,combined,0.766,0.09425,0.0167718735870001,0.0928765445733132,0.1393211078540503,0.039125,0.041120529170116,8000,0.027750000000000052,0.00847719714534989,0.7892170931972097,-0.26609358069079847,0.5950334721643297,0.5953842999031066,0.3177388977040587
mobility,rf,WA,2016,combined,0.766,0.093875,0.0236143169147338,0.0941482487517447,0.1472154217869943,0.0525,0.0296996541147082,8000,0.031625000000000014,0.010023711440087957,0.9487619457282109,0.40278395654359994,-0.21986855269985725,0.7563854163374026,0.5177048992695822
mobility,rf,WA,2017,combined,0.766,0.0889999999999999,0.0095756653283044,0.0855021188552567,0.1421488475262415,0.039375,0.0264660712320549,8000,0.02124999999999999,0.007132494334175066,0.8463659870501754,-0.2535911968172583,-0.45059108716910945,0.3253179110455724,0.14386734322864936
mobility,rf,WA,2018,combined,0.766,0.0923749999999999,0.0320034546670177,0.096400404649242,0.1705523052305229,0.049625,0.0166044568199301,8000,0.027874999999999983,0.008728658911085763,1.4204026302965322,0.2590065419978883,-1.1542367810308223,0.6005778843042101,0.3502531809615085
mobility,rf,AZ,2014,geographic,0.766,0.076875,0.030632355227977,0.0816511373587862,0.1023348456290802,0.02,0.035024918034726,8000,-0.0017500000000000293,0.0017455510794112117,0.041721135666270295,-1.2225259470166205,0.16009956097842984,-0.630301618758002,-0.5526703525305366
