task,model,state,year,shift,acc_src,acc_drop,auc_drop,ap_drop,cov,pred,expl,n_target
income,rf,IL,2015,combined,0.784,0.016249999999999987,0.017359483545227317,0.024028867940480758,0.10804729431742155,0.05125,0.030752352504571985,8000
income,rf,IL,2016,combined,0.784,0.02012500000000006,0.02215520643625757,0.02586462414319113,0.08432077700485618,0.057375,0.04239122235358763,8000
income,rf,IL,2017,combined,0.784,0.02124999999999999,0.02262874895965039,0.0130294987808105,0.10275017579301982,0.06375,0.04608206036962189,8000
income,rf,IL,2018,combined,0.784,0.03575000000000006,0.030047655107054094,0.004015894937778985,0.07465168746074857,0.066375,0.0228531524380093,8000
income,rf,GA,2014,geographic,0.784,0.008125000000000049,0.012447114391740843,0.07939947749864273,0.025189075630251967,0.04625,0.014004921893800586,8000
income,rf,GA,2015,combined,0.784,0.011750000000000038,0.022172078217907565,0.07926625383090102,0.033196436943272456,0.0505,0.018709865414766387,8000
income,rf,GA,2016,combined,0.784,0.017125000000000057,0.01951560487043158,0.04454450314664238,0.0398199335176066,0.062875,0.035785284540916625,8000
income,rf,GA,2017,combined,0.784,0.01100000000000001,0.01561894830597188,0.027731328910993835,0.0642207477876815,0.058,0.028077185639479755,8000
income,rf,GA,2018,combined,0.784,0.024249999999999994,0.02554065622993129,0.038884770501494303,0.08281145181450245,0.073,0.030011750124274955,8000
income,rf,NC,2014,geographic,0.784,0.008750000000000036,0.015481983800073262,0.1039330051173778,0.0496602556201764,0.047,0.037690092981815,8000
income,rf,NC,2015,combined,0.784,0.024125000000000063,0.03283292968865348,0.1148807137622343,0.0531967475625843,0.061375,0.02553459134576656,8000
income,rf,NC,2016,combined,0.784,0.023375000000000035,0.02461144721466546,0.09084929235790329,0.012793878704986827,0.060375,0.029187445270082518,8000
income,rf,NC,2017,combined,0.784,0.027125000000000066,0.03402697142619826,0.08517648045965853,0.06410860610909364,0.065,0.046905207770665376,8000
income,rf,NC,2018,combined,0.784,0.027000000000000024,0.026651139340784002,0.06110691848945704,0.044908872721818094,0.0705,0.036600284422232225,8000
income,rf,WA,2014,geographic,0.784,0.02212500000000006,0.022318322486731712,0.020636743264399793,0.07353204412817638,0.0485,0.038995781435659224,8000
income,rf,WA,2015,combined,0.784,0.02287499999999998,0.024078088710337675,0.003789167509849478,0.04526905454591823,0.05825,0.04261093408185539,8000
income,rf,WA,2016,combined,0.784,0.01637500000000003,0.02055152477521771,-0.0025107504423032,0.04822885265395205,0.05875,0.04402146355457776,8000
income,rf,WA,2017,combined,0.784,0.02562500000000001,0.02159174310727452,-0.015980615289938216,0.06444606554030519,0.0645,0.03770757280773597,8000
income,rf,WA,2018,combined,0.784,0.021874999999999978,0.0194081887064671,-0.0277078513200536,0.05344025601440072,0.066375,0.03111383880123451,8000
income,rf,AZ,2014,geographic,0.784,0.01650000000000007,0.032363011541565956,0.10467697649549157,0.03758024999999998,0.026625,0.030086693437694097,8000
income,rf,AZ,2015,combined,0.784,0.009875000000000078,0.022394768836744294,0.08416645339518769,0.017281228122812298,0.023375,0.023501690596090766,8000
income,rf,AZ,2016,combined,0.784,0.014500000000000068,0.030273113555617015,0.09817611064202059,0.004718510616648963,0.030375,0.03498203796781075,8000
income,rf,AZ,2017,combined,0.784,0.013249999999999984,0.022801205218147658,0.06809293470350786,0.008064502002111729,0.020125,0.02086560129700037,8000
income,rf,AZ,2018,combined,0.784,0.016125000000000056,0.02464903448209277,0.04740573429580486,0.019235312691961326,0.0375,0.04417462442097294,8000
income,rf,MA,2014,geographic,0.784,0.00012500000000004174,-0.002506298069927082,-0.04739275644590024,0.15168972379204804,0.062,0.033468278018031754,8000
income,rf,MA,2015,combined,0.784,0.0040000000000000036,-0.0020879693292185086,-0.050410123608607416,0.1500152503812595,0.060875,0.023372635793412193,8000
income,rf,MA,2016,combined,0.784,0.012125000000000052,0.003518942592240837,-0.0491917200638331,0.15537579844934513,0.068125,0.038625845826711636,8000
income,rf,MA,2017,combined,0.784,0.016625,0.006650949510026205,-0.053807998440054905,0.18678192819281936,0.07875,0.057117569399384345,8000
income,rf,MA,2018,combined,0.784,0.016125000000000056,0.006660230740566542,-0.06956837620605649,0.2135528542114169,0.097,0.02361606025202352,8000
income,xgb,CA,2015,temporal,0.7885,0.008375000000000021,0.0037656276693837087,-0.01714495385789494,0.013208017462353672,0.0205,0.01673829377712983,8000
income,xgb,CA,2016,temporal,0.7885,0.00275000000000003,-0.0012034695996979705,-0.02207548717999619,0.012650579066119327,0.013125,0.012528052948555215,8000
income,xgb,CA,2017,temporal,0.7885,0.009375000000000022,0.0058051883671215165,-0.030137807307542674,0.024063699159631913,0.0275,0.0099471652980153,8000
income,xgb,CA,2018,temporal,0.7885,0.015249999999999986,0.008227828076155852,-0.030792401497283794,0.027339061512888563,0.024,0.009414334331374216,8000
income,xgb,TX,2014,geographic,0.7885,0.013749999999999929,0.021192723060269425,0.05743980777315649,0.10792091817904526,0.035375,0.026713042998386175,8000
income,xgb,TX,2015,combined,0.7885,0.01387499999999997,0.02014199089755131,0.0456185539670495,0.0734404109636988,0.029125,0.015566120890695492,8000
income,xgb,TX,2016,combined,0.7885,0.008624999999999994,0.011411191715130276,0.02630464369811336,0.08373727335795866,0.028625,0.01837812977669435,8000
income,xgb,TX,2017,combined,0.7885,0.013749999999999929,0.0177884039451639,0.02927899995487926,0.08949909636393039,0.041125,0.020659820494787703,8000
income,xgb,TX,2018,combined,0.7885,0.026000000000000023,0.029385842841443965,0.037881252671552845,0.08818691765425912,0.05,0.03555994287075458,8000
income,xgb,NY,2014,geographic,0.7885,0.02200000000000002,0.021264615232822415,0.004134073114507308,0.07222503516174394,0.030375,0.04749763140667306,8000
income,xgb,NY,2015,combined,0.7885,0.02287499999999998,0.022496048190694062,0.012765692805258522,0.10106715426861701,0.03875,0.01661894029596912,8000
income,xgb,NY,2016,combined,0.7885,0.032625000000000015,0.028065019728019558,0.0014645559882313641,0.06874761872856872,0.06325,0.03580312604168696,8000
income,xgb,NY,2017,combined,0.7885,0.022625000000000006,0.019501368109960504,-0.016244389620085786,0.07714173632578136,0.050125,0.024970124228552493,8000
income,xgb,NY,2018,combined,0.7885,0.03137499999999993,0.025390523386289443,-0.013516608930222884,0.13079857662777195,0.055375,0.020512780052913935,8000
income,xgb,FL,2014,geographic,0.7885,0.02949999999999997,0.03155765318380366,0.10884042182474174,0.04785715625410303,0.0485,0.019082264259754574,8000
income,xgb,FL,2015,combined,0.7885,0.028249999999999997,0.027867496043514017,0.10036772459895593,0.08176726484094865,0.0545,0.03705691361461894,8000
income,xgb,FL,2016,combined,0.7885,0.02762500000000001,0.03017206977017317,0.09610987852007036,0.07419723760886265,0.0615,0.03484934158075876,8000
income,xgb,FL,2017,combined,0.7885,0.036250000000000004,0.04455139385671458,0.08955737622469839,0.09217389912954443,0.066625,0.024686926003418343,8000
income,xgb,FL,2018,combined,0.7885,0.04337499999999994,0.04138103723176023,0.0682576476034793,0.08595843100484446,0.072375,0.02788813757700042,8000
income,xgb,PA,2014,geographic,0.7885,0.009000000000000008,0.019703621681593786,0.05096848528513487,0.08060350377189862,0.030125,0.03832218631228202,8000
income,xgb,PA,2015,combined,0.7885,0.01824999999999999,0.019609640552634477,0.031502620261087966,0.08953946922665157,0.038875,0.03418086973072619,8000
income,xgb,PA,2016,combined,0.7885,0.026124999999999954,0.03004010954820291,0.05151511488783067,0.08342952374309331,0.040125,0.028430624289348626,8000
