task,model,state,year,shift,n_target,ace_iso_tgt,acc_src,auc_src,ap_src,brier_src,ace_src,dp_sex_src,eo_sex_src,dp_rac_src,eo_rac_src,acc_tgt,auc_tgt,ap_tgt,brier_tgt,ace_tgt,dp_sex_tgt,eo_sex_tgt,dp_rac_tgt,eo_rac_tgt
income,logreg,PA,2016,combined,8000,0.032628370360005654,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.756875,0.8141907844828046,0.6488347416564912,0.16493298194647413,0.03590772799879413,0.04912142374408651,0.037996803773127516,0.0554704177953208,0.008806196365122837
income,logreg,PA,2017,combined,8000,0.031478046218398954,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.758125,0.8204957855194432,0.6689658663176774,0.16194490452910457,0.03614722722284115,0.03461025924146577,0.0495796045033256,0.10019261298912208,0.06750967500961025
income,logreg,PA,2018,combined,8000,0.02284876208286732,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.754625,0.821732101161249,0.6851688346264225,0.1639695057741872,0.025708061607443596,0.0544272733368763,0.04011357929976429,0.07040811082642623,0.019344580949879134
income,logreg,OH,2014,geographic,8000,0.06551158009842038,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.786375,0.8359244302842039,0.6372465539264613,0.14989373321478633,0.07720990072099995,0.10363832591016309,0.025956219187045382,0.08837748374236723,0.0464143174920293
income,logreg,OH,2015,combined,8000,0.053206567431334395,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.7795,0.832853364969509,0.6521228459609951,0.1528991928487106,0.062250373775392304,0.07924381943749376,0.010493252169886391,0.05281952475959667,0.009310667752120055
income,logreg,OH,2016,combined,8000,0.04752877785940654,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.77525,0.8338820781637644,0.6557870973521814,0.15380281583615987,0.05565014367779896,0.0947645125958379,0.013659773616842258,0.09098101297164998,0.039834976789786924
income,logreg,OH,2017,combined,8000,0.04147149382438511,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.774625,0.836392181016911,0.687202605815615,0.15388227386362127,0.04247070057409109,0.07664009541235012,0.009177236852328241,0.07067097267666678,0.015163549378595792
income,logreg,OH,2018,combined,8000,0.03405066401581281,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.767,0.8367544403419374,0.7128313414917795,0.1556871529889425,0.02981746838940353,0.06800335718885575,0.0160466868002528,0.08394981569540427,0.015586043549997347
income,logreg,IL,2014,geographic,8000,0.03488854582631029,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.764,0.8289786466145331,0.6798030737637497,0.1598447203246943,0.0401130530034584,0.07899902248289348,0.007691996211353094,0.07806134068559134,0.02574989493115218
income,logreg,IL,2015,combined,8000,0.02495673929873738,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.76125,0.8302488893724719,0.6923839525903777,0.16080262359691921,0.03063017868492534,0.08786399208203272,0.005075912701495461,0.08386564691077636,0.03993800506227148
income,logreg,IL,2016,combined,8000,0.027665343894390394,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.7575,0.826897920802424,0.6874946770055606,0.16164029298178187,0.03434657176418365,0.0739758977094247,0.009263520715338036,0.0836945001150094,0.04059322827259222
income,logreg,IL,2017,combined,8000,0.01675757311936469,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.7525,0.8275770005558206,0.7094484683616434,0.16392239811604178,0.020136435793427616,0.06240369799691836,0.023378779447593645,0.09796587032853837,0.039019631656599274
income,logreg,IL,2018,combined,8000,0.029039188586175442,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.743625,0.8187716411832703,0.7069098992517974,0.16907133421407722,0.026164302511400818,0.06791241923554969,0.017746015359492037,0.11958911046825332,0.07007955965461878
income,logreg,GA,2014,geographic,8000,0.0781300355512649,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.77775,0.8420271480143529,0.6538000201338897,0.15197636048881638,0.09031656155788734,0.09463772517815272,0.028201459945699794,0.1311088469103649,0.06956474303669156
income,logreg,GA,2015,combined,8000,0.06268410269886955,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.768625,0.8314827344592812,0.6398667453017804,0.15755224424462727,0.07324254005827424,0.08954796260603703,0.02718439690054608,0.10010230976487361,0.03466889698655706
income,logreg,GA,2016,combined,8000,0.052793775352882225,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.774125,0.8386788891132301,0.6886028386878469,0.1552887608007519,0.06086926561837937,0.07038123167155425,0.002375441458453087,0.11938590388004189,0.044405153530331434
income,logreg,GA,2017,combined,8000,0.04293933670106345,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.769375,0.8375101243508505,0.698457582413521,0.1566472551129775,0.05379524168609579,0.0707870533442918,0.012624567961642505,0.11727534448788712,0.036707121102201215
income,logreg,GA,2018,combined,8000,0.030169421111699193,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.76125,0.8311088502035904,0.6961825554102672,0.16135313716606794,0.041172786656355126,0.0787404414947338,0.014840203963823392,0.09677069172604535,0.05299654514103688
income,logreg,NC,2014,geographic,8000,0.0990474344661925,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.770875,0.8372235280201785,0.6379650901267047,0.1540198523821506,0.10831790023003124,0.057083061465729945,0.010825164342934929,0.13656625472676892,0.08261465854640812
income,logreg,NC,2015,combined,8000,0.09506426378292963,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.757125,0.8253763365521559,0.615170234295838,0.16149695535154376,0.10363650022033608,0.05837723883014395,0.014162791280407303,0.13423083338903502,0.058543336274676075
income,logreg,NC,2016,combined,8000,0.08143763982784004,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.763875,0.8315125494668131,0.650558478791763,0.1587142613836193,0.09058652333198187,0.05702632185610612,0.027024444867596073,0.14612864427398115,0.07102396675550887
income,logreg,NC,2017,combined,8000,0.07063410029700026,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.75,0.8161547628735476,0.62593119702304,0.1664590120376974,0.07812317230801913,0.04895838725253743,0.02644103657688958,0.13346040647481322,0.06434909849649578
income,logreg,NC,2018,combined,8000,0.06132782173156739,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.763875,0.8275803442208917,0.6701825400830821,0.16136098173230076,0.07147455825759333,0.05683377078571428,0.018151221482474736,0.1603479624984126,0.09179786790397115
income,logreg,WA,2014,geographic,8000,0.018997549141087807,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.756875,0.8261321054569977,0.6871353954495951,0.16394792556358578,0.024516273056123278,0.0941849093507861,0.01959525931025441,0.09364382949331201,0.04819564415708831
income,logreg,WA,2015,combined,8000,0.02011931916070171,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.747,0.8207844646157332,0.701258143910052,0.16847284858384498,0.020281664414649635,0.08809396211085063,0.01178709689603423,0.08424226133313123,0.03566300718881567
income,logreg,WA,2016,combined,8000,0.021586098799947644,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.75625,0.8211515729391557,0.7030540447882956,0.16781156838301503,0.02651771814719904,0.10467855890060068,0.014275862715791204,0.14059274644697917,0.06890930505801109
income,logreg,WA,2017,combined,8000,0.037720748822437596,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.73775,0.8186331973522168,0.725747198710059,0.17278203536047182,0.03682931081173956,0.0866482674518928,0.009434283619629932,0.06859302803268091,0.036325519926889274
income,logreg,WA,2018,combined,8000,0.03644897911534645,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.748,0.8234079857211606,0.7360946033376097,0.1708194870339101,0.038687760253364116,0.09289857871769697,0.00708472931949608,0.0657180779960761,0.020305330236165153
income,logreg,AZ,2014,geographic,8000,0.06338988140481525,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.762875,0.8206160377395184,0.6228266111638363,0.15915390645815994,0.07044123664953258,0.07072262609366958,0.03854656414726544,0.13233199774306673,0.088561244841267
income,logreg,AZ,2015,combined,8000,0.05075718626636082,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.772125,0.8316014140340688,0.6426658206452158,0.15488356093184089,0.0622265915712569,0.058553685897435925,0.022884067959647716,0.13343567524869454,0.0794602669202382
